IL-509,43,39,4,38,38,0,2,0,6,1
MI-513,26,24,2,44,44,0,2,0,7,0
PA-510,162,155,7,194,194,0,17,0,5,1
CA-612,176,133,43,64,52,12,2,8,4,2
MA-519,56,29,27,187,187,0,1,5,1,5
VA-600,124,105,19,50,50,0,5,0,6,0
TX-701,80,74,6,81,76,5,4,0,6,0
NY-607,90,90,0,73,73,0,2,0,6,0
GA-504,192,174,18,95,92,3,46,2,5,0
AR-508,131,88,43,35,23,12,14,4,4,1
CA-527,103,48,55,30,25,5,8,8,1,4
VA-507,119,74,45,50,50,0,5,5,4,1
WV-500,64,61,3,27,27,0,8,1,5,0
IL-504,51,34,17,148,142,6,6,1,3,2
VA-602,65,46,19,69,69,0,3,1,4,1
AL-502,194,155,39,143,131,12,17,2,2,2
CA-523,71,4,67,44,31,13,0,7,0,4
MD-500,76,39,37,48,45,3,1,0,1,3
NC-513,70,55,15,10,10,0,5,2,3,0
NY-504,20,20,0,7,7,0,1,0,3,0
NY-519,52,50,2,64,64,0,0,0,3,0
LA-507,129,75,54,38,38,0,27,6,1,1
LA-508,48,45,3,98,98,0,18,0,2,0
CA-615,110,1,109,20,10,10,0,8,0,2
IL-515,44,32,12,89,89,0,1,0,2,0
MD-510,10,10,0,10,10,0,0,0,2,0
TX-611,445,425,20,147,147,0,54,3,0,1
MD-511,88,68,20,50,44,6,4,3,1,0
MA-502,113,109,4,428,428,0,2,0,1,0
PA-603,58,52,6,73,73,0,0,1,1,0
IL-500,102,98,4,52,52,0,24,0,0,0
AR-512,14,3,11,13,8,5,0,3,0,0
MI-523,11,5,6,109,106,3,1,0,0,0
NY-520,20,20,0,7,5,2,1,0,0,0
