CoC Number,CoC Name,Total Homeless,Sheltered Homeless,Unsheltered Homeless,Chronically Homeless,Homeless Veterans,Homeless Individuals,Homeless People in Families,Homeless Unaccompanied Youth (Under 25)
NC-506,"Wilmington/Brunswick, New Hanover, Pender Counties CoC",322,235,87,44,48,256,66,16
PA-510,Lancaster City & County CoC,321,295,26,6,23,180,141,17
GA-505,Columbus-Muscogee/Russell County CoC,319,246,73,21,17,245,74,13
OH-508,Canton/Massillon/Alliance/Stark County CoC,319,297,22,13,10,147,172,16
WV-503,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC",319,270,49,65,34,272,47,28
TN-510,Murfreesboro/Rutherford County CoC,316,227,89,73,21,249,67,14
CA-517,Napa City & County CoC,315,199,116,134,17,233,82,23
PA-504,Lower Marion/Norristown/Abington/Montgomery County CoC,310,291,19,40,13,131,179,9
MD-509,Frederick City & County CoC,309,206,103,74,10,217,92,20
NY-511,"Binghamton, Union/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Counties C",308,246,62,5,13,271,37,37
MI-509,Ann Arbor/Washtenaw County CoC,302,262,40,43,38,242,60,23
NJ-501,Bergen County CoC,302,297,5,3,16,182,120,32
IL-508,East Saint Louis/Belleville/Saint Clair County CoC,300,154,146,21,36,174,126,5
NJ-508,Monmouth County CoC,299,255,44,44,16,144,155,1
MA-515,Fall River CoC,297,278,19,7,1,62,235,1
NH-502,Nashua/Hillsborough County CoC,295,283,12,13,54,160,135,15
GA-502,Fulton County Continuum of Care,293,203,90,2,19,217,76,7
IL-501,"Rockford/Winnebago, Boone Counties CoC",291,259,32,31,23,178,113,13
VT-501,Burlington/Chittenden County CoC,291,263,28,44,25,197,94,25
IA-500,"Sioux City/Dakota, Woodbury Counties CoC",288,286,2,17,12,159,129,6
MN-506,Northwest Minnesota CoC,288,285,3,2,3,103,185,49
PA-512,York City & County CoC,288,243,45,12,9,134,154,16
NJ-516,"Warren, Sussex, Hunterdon Counties CoC",286,244,42,32,82,191,95,11
TN-503,Central Tennessee CoC,285,260,25,45,55,201,84,42
IL-506,Joliet/Bolingbrook/Will County CoC,282,251,31,24,18,185,97,13
VA-513,"Harrisburg, Winchester/Western Virginia CoC",280,261,19,44,10,195,85,6
NY-507,Schenectady City & County CoC,274,251,23,15,11,171,103,21
MO-602,"Joplin/Jasper, Newton Counties CoC",270,229,41,45,53,195,75,7
VA-502,Roanoke City & County/Salem CoC,267,250,17,48,32,197,70,18
MS-503,Gulf Port/Gulf Coast Regional CoC,264,71,193,19,6,185,79,9
OH-504,Youngstown/Mahoning County CoC,262,256,6,16,15,163,99,22
MD-513,Wicomico/Somerset/Worcester County CoC,260,218,42,41,32,212,48,9
MI-519,Holland/Ottawa County CoC,258,250,8,4,2,112,146,12
TN-506,Oak Ridge/Upper Cumberland CoC,252,168,84,25,15,157,95,16
NC-509,"Gastonia/Cleveland, Gaston, Lincoln Counties CoC",249,171,78,25,14,164,85,23
LA-506,Slidell/Southeast Louisiana CoC,248,159,89,26,48,191,57,13
NY-523,"Glens Falls/Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties CoC",247,239,8,12,28,175,72,23
GA-504,Augusta-Richmond County CoC,246,199,47,30,44,217,29,4
NJ-513,Somerset County CoC,244,239,5,3,100,176,68,29
IL-518,Rock Island/Moline/Northwestern Illinois CoC,243,234,9,0,24,132,111,33
GA-503,Athens/Clarke County CoC,239,146,93,53,9,182,57,11
NV-502,Nevada Balance of State CoC,237,92,145,28,16,180,57,16
MA-519,Attleboro/Taunton/Bristol County CoC,234,198,36,22,3,81,153,9
TX-624,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC",234,213,21,65,10,170,64,35
VA-600,Arlington County CoC,232,199,33,63,10,149,83,3
OK-506,Southwest Oklahoma Regional CoC,231,169,62,0,25,150,81,23
IL-513,Springfield/Sangamon County CoC,230,219,11,29,16,171,59,8
IL-502,Waukegan/North Chicago/Lake County CoC,228,201,27,18,8,122,106,7
MI-512,"Grand Traverse, Antrim, Leelanau Counties CoC",228,188,40,37,18,167,61,15
MI-502,Dearborn/Dearborn Heights/Westland/Wayne County CoC,226,212,14,8,13,78,148,6
NY-501,"Elmira/Steuben, Allegany, Livingston, Chemung, Schuyler Counties CoC",226,189,37,6,9,120,106,11
NJ-510,Lakewood Township/Ocean County CoC,224,181,43,24,6,119,105,23
FL-602,Punta Gorda/Charlotte County CoC,222,89,133,33,55,165,57,7
TX-604,Waco/McLennan County CoC,221,162,59,26,19,125,96,12
VA-514,"Fredericksburg/Spotsylvania, Stafford Counties CoC",216,177,39,29,8,122,94,20
MN-508,Moorhead/West Central Minnesota CoC,215,212,3,18,8,104,111,15
VA-603,City of Alexandria CoC,211,193,18,43,6,121,90,5
MO-603,"St. Joseph/Andrew, Buchanan, DeKalb Counties CoC",210,192,18,62,9,118,92,7
MD-512,Hagerstown/Washington County CoC,208,187,21,48,40,164,44,7
WV-501,"Huntington/Cabell, Wayne Counties CoC",205,173,32,9,17,148,57,6
MI-514,Battle Creek/Calhoun County CoC,204,175,29,22,23,152,52,18
AL-506,Tuscaloosa City & County CoC,200,137,63,24,41,140,60,31
