COCNUM,lon,lat
PA-502,-75.3315012,39.8832804
PA-504,-75.3354904,40.1929727
PA-507,NA,NA
PA-508,-75.6624122,41.408969
PA-509,-75.4901833,40.6084305
PA-511,-74.9408328,40.1352858
PA-600,-79.8436201,40.3354237
PR-502,NA,NA
RI-500,-71.4157045,41.8328524
SC-500,-79.928764,32.7807599
SC-502,-80.9802245,33.9882174
SD-500,-99.3216354,43.8060535
TN-512,-83.3076392,36.2263718
TX-604,-97.1466695,31.549333
TX-624,-98.4933873,33.9137085
TX-700,-95.1604077,29.6382342
UT-503,-111.7549916,40.3665419
UT-504,-111.6432327,40.2266231
VA-500,-77.4360481,37.5407246
VA-501,-76.4386847,36.878451
VA-504,-78.4766781,38.0293059
VA-508,-79.1422464,37.4137536
VA-513,-78.1620648,39.1860681
VA-514,-77.4605399,38.3031837
VT-501,-73.212072,44.4758825
WA-503,-122.4836866,47.1704753
WA-504,-122.2020794,47.9789848
WA-508,-122.6716063,45.6318397
WI-500,-89.4529738,43.0721646
WV-501,-82.445154,38.4192496
WV-503,-81.6911559,38.1908389
WY-500,-106.325437,42.855415
